Universal Service Identifier: Zahl1-     Zahl2- OBR
1^MRSA (Kultur)                     1 0
1^Erreger/Resistenz                 2 0
bkan^Blutkultur anaerob^unt^12035   2 2
bkae^Blutkultur aerob^unt^12034     3 2
hemm^Hemmstofftest^unt^12002        5 2
leukos^Leukozyten^unt^12502         5 3
1^Erreger/Resistenz, Legionella Antigen (Urin), Streptococcus pneumoniae-Antigen    6 0
strpnag^Streptococcus pneumoniae-Antigen^unt^16010                                  6 2
legag^Legionellen-Antigen (Urin)^unt^16014                                          6 3
1^MRGN, MRSA (Kultur)               12 0
1^MRGN                              14 0
1^Erreger/Resistenz, Hefen, Legionella Antigen (Urin), Streptococcus pneumoniae-Antigen     26 0
1^Erreger/Resistenz, Pilze          32 0
psgram^Grampr�parat^unt^10001       32 2
quant^Quantifizierung               32 3
pgram^Grampr�parat^unt^10000        41 2
1^Erreger/Resistenz, Hefen          42 0
1^Erreger/Resistenz, Mycobacterium tuberculosis (PCR+Kultur), Pilze         46 0
1^Actinomyces, Aspergillus (Antigen), Erreger/Resistenz, Legionella, Mycobacterium tuberculosis (PCR+Kultur), Nocardia, Pilze, Pneumocystis         49 0
aspaghl^Aspergillus Antigen-Nachweis^unt^16500                              49 5
1^Erreger/Resistenz, Mycobacterium tuberculosis (Kultur), Pilze             50 0
1^Actinomyces, Erreger/Resistenz, Pilze                                     57 0
1^Erreger/Resistenz, Streptococcus pneumoniae-Antigen                       60 0
kz^Keimzahl                                                                 97 4
1^MRGN, MRSA (PCR)                                                          148 0
1^Brucella, Erreger/Resistenz, Hefen                                        199 0
1^MRGN, VRE                         303 0
1^MRGN, MRSA (Kultur), VRE          322 0
1^Pilze                             399 0
bkpe^Blutkultur p�diatrisch^unt^12036                                       433 2
1^Adenoviren, Clostridioides difficile (Antigen/Toxin), Norovirus (Antigen), Rotavirus, darmpathogene Erreger       519 0
av^Adenoviren Antigen-Nachweis^unt^16005                                    519 2
cl^Clostridioides difficile GDH- und Toxin^unt^16001                        519 3
nv^Noroviren Antigen-Nachweis^unt^16007                                     519 4
rv^Rotavirus Antigen-Nachweis^unt^16008                                     519 5
resi^Resistenzbestimmung                                                    598 3
1^Clostridioides difficile (Antigen/Toxin), Norovirus (Antigen), darmpathogene Erreger                              669 0
1^darmpathogene Erreger                                                     670 0
1^Adenoviren, Clostridioides difficile (Antigen/Toxin), EHEC (Toxin), Helicobacter pylori (Antigen), Norovirus (Antigen), Rotavirus, darmpathogene Erreger  748 0
hp^Helicobacter pylori Antigen-Nachweis^unt^16003                           748 4
1^Adenoviren, Am�ben, Clostridioides difficile (Antigen/Toxin), Cryptosporidia, EHEC (Toxin), Helicobacter pylori (Antigen), Lamblia, Mycobacterium tuberculosis (Kultur), Norovirus (Antigen), Parasiten, Pilze, Rotavirus, Vibrio cholerae, darmpathogene Erreger
                                                                            752 0 todo 752 Freitext!!!
1^Clostridioides difficile (Antigen/Toxin), darmpathogene Erreger           756 0
1^Aspergillus (Antigen), Erreger/Resistenz, Mycobacterium tuberculosis (Kultur), Pilze                              761 0
1^Adenoviren, Norovirus (Antigen), Rotavirus                                                                        783 0
